B00, 0
B10, Trade, 610.875, 100, S03, B10, 1
B10, Trade, 619.175, 102, S10, B10, 1
B10, Trade, 625.275, 102, B10, S04, 1
B10, Trade, 630.250, 102, B10, S05, 1
B10, Trade, 632.975, 102, B10, S00, 1
B10, Trade, 637.200, 101, S08, B10, 1
B10, Trade, 646.575, 102, B10, S00, 1
B10, Trade, 648.725, 102, S08, B10, 1
B10, Trade, 652.175, 102, S08, B10, 1
B10, Trade, 660.050, 102, B10, S01, 1
B10, Trade, 672.275, 102, B10, S10, 1
B10, Trade, 677.800, 102, B10, S01, 1
B10, Trade, 684.825, 102, B10, S06, 1
B10, Trade, 688.450, 102, B10, S07, 1
B10, Trade, 696.600, 102, S04, B10, 1
B10, Trade, 700.325, 102, B10, S01, 1
B10, Trade, 705.875, 102, B10, S06, 1
B10, Trade, 723.050, 102, B10, S01, 1
B10, Trade, 730.475, 100, S04, B10, 1
B10, Trade, 739.025, 102, B10, S10, 1
B10, Trade, 742.025, 102, B10, S10, 1
B10, Trade, 747.125, 102, B10, S05, 1
B10, Trade, 748.025, 102, B10, S03, 1
B10, Trade, 756.625, 101, S08, B10, 1
B10, Trade, 757.000, 100, S02, B10, 1
B10, Trade, 763.475, 102, S10, B10, 1
B10, Trade, 774.325, 102, S04, B10, 1
B10, Trade, 777.425, 102, B10, S10, 1
B10, Trade, 788.275, 102, B10, S01, 1
B10, Trade, 804.000, 102, S10, B10, 1
B10, Trade, 811.050, 102, B10, S08, 1
B10, Trade, 816.200, 102, S10, B10, 1
B10, Trade, 821.900, 101, S03, B10, 1
B10, Trade, 823.125, 100, S00, B10, 1
B10, Trade, 830.400, 102, B10, S10, 1
B10, Trade, 835.475, 102, B10, S06, 1
B10, Trade, 844.850, 97, S08, B10, 1
B10, Trade, 847.475, 102, B10, S05, 1
B10, Trade, 855.425, 102, B10, S03, 1
B10, Trade, 860.825, 100, S08, B10, 1
B11, 100
B11, Trade, 319.475, 107, S11, B11, 1
B11, Trade, 323.675, 104, S08, B11, 1
B11, Trade, 329.650, 101, S04, B11, 1
B11, Trade, 335.725, 102, S10, B11, 1
B11, Trade, 340.775, 100, S00, B11, 1
B11, Trade, 347.150, 98, S02, B11, 1
B11, Trade, 355.050, 102, S10, B11, 1
B11, Trade, 357.825, 101, S02, B11, 1
B11, Trade, 367.950, 102, S10, B11, 1
B11, Trade, 371.075, 101, S02, B11, 1
B11, Trade, 377.200, 102, S00, B11, 1
