Trd, 000133.025, 98
Trd, 000133.625, 102.0
Trd, 000134.200, 105
Trd, 000135.375, 105
Trd, 000136.575, 101.0
Trd, 000137.750, 102
Trd, 000138.250, 101
Trd, 000138.275, 102
Trd, 000138.925, 100
Trd, 000139.900, 102.0
Trd, 000140.950, 102
Trd, 000141.325, 102
Trd, 000141.550, 107
Trd, 000142.600, 105
Trd, 000143.350, 102
Trd, 000143.825, 105
Trd, 000143.875, 107
Trd, 000143.900, 102
Trd, 000144.175, 101
Trd, 000145.000, 104
Trd, 000145.050, 102
Trd, 000146.450, 110
Trd, 000146.700, 109.0
Trd, 000147.325, 110
Trd, 000147.700, 113
Trd, 000148.450, 107.0
Trd, 000150.100, 106
Trd, 000150.125, 106
Trd, 000150.575, 107
Trd, 000150.650, 106
Trd, 000150.800, 105
Trd, 000151.325, 107
Trd, 000152.525, 108
Trd, 000152.850, 111
Trd, 000153.675, 108
Trd, 000154.775, 107
Trd, 000156.050, 107.0
Trd, 000156.075, 107
Trd, 000156.550, 106
Trd, 000157.325, 103.0
Trd, 000158.875, 106
Trd, 000159.525, 102.0
Trd, 000160.200, 97
Trd, 000160.525, 98
Trd, 000160.975, 81.0
Trd, 000161.000, 89
Trd, 000161.550, 103
Trd, 000162.000, 103.0
Trd, 000162.375, 107
Trd, 000163.775, 107.0
Trd, 000164.150, 105
Trd, 000164.750, 104
Trd, 000165.025, 105
Trd, 000165.525, 107
Trd, 000166.200, 107
Trd, 000166.900, 106
Trd, 000168.675, 107
Trd, 000169.400, 106
Trd, 000169.625, 107
Trd, 000170.000, 106
Trd, 000170.300, 106
Trd, 000170.350, 107
Trd, 000171.800, 104
Trd, 000172.625, 107
Trd, 000173.125, 108
Trd, 000173.575, 107
Trd, 000173.925, 107.0
Trd, 000175.450, 105
Trd, 000175.825, 108
Trd, 000176.225, 102.0
Trd, 000177.125, 107
Trd, 000178.525, 107
Trd, 000178.900, 107
Trd, 000179.000, 106
Trd, 000180.175, 107
Trd, 000181.125, 105
Trd, 000181.225, 104
Trd, 000181.975, 102.0
Trd, 000182.300, 109
